disorder_id,name,name_alt1,name_alt2,abbr,gene_sym,hgnc_gene_sym,hgnc_gene_name,ncbi_gene,omim_no,inheritance,treatability,prevalence
1,PAH-related Phenylketonuria,Phenylalanine hydroxylase deficiency,Classic PKU,PKU,PAH,PAH,phenylalanine hydroxylase,5053,261600,Autosomal Recessive,yes,1:10 000
3,GCH1-related Tetrahydrobiopterin deficiency (GTPCH;ar),"GTP cyclohydrolase I deficiency, ar",NA,GTPCH,GCH1,GCH1,GTP cyclohydrolase 1,2643,233910,Autosomal Recessive,yes,<1:1 000 000
4,PTS-related Tetrahydrobiopterin deficiency (PTPS),6-Pyruvoyl-tetrahydropterin synthase deficiency,NA,PTPS,PTS,PTS,6-pyruvoyltetrahydropterin synthase,5805,261640,Autosomal Recessive,yes,1:1 000 000 in Caucasian; 1:132 000 in Taiwanese
5,QDPR-related Tetrahydrobiopterin deficiency (DHPR),Dihydropteridine reductase deficiency,NA,DHPR,QDPR,QDPR,quinoid dihydropteridine reductase,5860,261630,Autosomal Recessive,yes,NA
6,PCBD1-related Tetrahydrobiopterin deficiency (PCD),Primapterinuria,Pterin carbinolamine-4a-dehydratase deficiency,PCD,PCBD1,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,5092,264070,Autosomal Recessive,yes,NA
7,GCH1-related Tetrahydrobiopterin deficiency (GTPCH;ad),Segawa disease; Dopa-responsive dystonia,"GTP cyclohydrolase I deficiency, ad",GTPCH-DRD,GCH1,GCH1,GTP cyclohydrolase 1,2643,600225,Autosomal Dominant,yes,NA
8,SPR-related Tetrahydrobiopterin deficiency (SR),Sepiapterin reductase deficiency,NA,SR,SPR,SPR,"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)",6697,182125,Autosomal Recessive,yes,NA
9,SLC22A5-related Primary carnitine deficiency,Organic cation carnitine transporter 2 deficiency,NA,OCTN2,SLC22A5,SLC22A5,solute carrier family 22 member 5,6584,212140,Autosomal Recessive,yes,NA
11,CPS1-related Carbamoyl phosphate synthetase I deficiency,CPS1 deficiency,Carbamyl phosphate synthetase deficiency,CPS I deficiency,CPS1,CPS1,carbamoyl-phosphate synthase 1,1373,237300,Autosomal Recessive,yes,1:1 300 000
12,NAGS-related N-Acetylglutamate synthase deficiency,NAGS deficiency,NA,NAGS deficiency,NAGS,NAGS,N-acetylglutamate synthase,162417,237310,Autosomal Recessive,yes,< 1:2 000 000
13,OTC-related Ornithine transcarbamylase deficiency,Ornithine carbamoyltransferase deficiency,Ornithine carbamyl transferase deficiency,OTC deficiency,OTC,OTC,ornithine carbamoyltransferase,5009,311250,X-linked,yes,1:14 000-1:80 000
14,ASS1-related Argininosuccinate synthetase deficiency,Citrullinemia type I,Classical citrullinemia,CTLN1,ASS1,ASS1,argininosuccinate synthase 1,445,215700,Autosomal Recessive,yes,1:100 000-1:250 000
15,ASL-related Argininosuccinate lyase deficiency,Argininosuccinase deficiency,Argininosuccinic aciduria,ASLD,ASL,ASL,argininosuccinate lyase,435,207900,Autosomal Recessive,yes,1:200 000
16,ARG1-related Arginase 1 deficiency,Argininemia,Hyperargininemia,ARG1 deficiency,ARG1,ARG1,arginase 1,383,207800,Autosomal Recessive,yes,1:1 100 000
17,SLC25A15-related Mitochondrial ornithine transporter deficiency,Hyperammonemia-hyperornithinemia-homocitrullinuria (HHH) syndrome,Ornithine translocase deficiency,HHH,SLC25A15,SLC25A15,solute carrier family 25 member 15,10166,238970,Autosomal Recessive,yes,1: 2 000 000
18,SLC25A13-related Citrin deficiency,Citrullinemia type II,NA,CTLN2,SLC25A13,SLC25A13,solute carrier family 25 member 13,10165,605814;603471,Autosomal Recessive,yes,"1:17 000 in Japan, <1:100 000 in most other places"
19,FAH-related Fumarylacetoacetase deficiency,Tyrosinemia type 1,NA,TYR1,FAH,FAH,fumarylacetoacetate hydrolase,2184,276700,Autosomal Recessive,yes,1:100 000
20,TAT-related Tyrosine aminotransferase deficiency,Tyrosinemia type 2,Richner-Hanhart syndrome,TYR2,TAT,TAT,tyrosine aminotransferase,6898,276600,Autosomal Recessive,yes,NA
21,HPD-related 4-hydroxyphenylpyruvate dioxygenase deficiency,Tyrosinaemia type 3,NA,TYR3,HPD,HPD,4-hydroxyphenylpyruvate dioxygenase,3242,276710,Autosomal Recessive,unknown,NA
22,HPD-related Hawkinsinuria,4-hydroxyphenylpyruvate dioxygenase change of function,NA,HAWK,HPD,HPD,4-hydroxyphenylpyruvate dioxygenase,3242,140350,Autosomal Dominant,unknown,NA
23,HGD-related Homogentisic acid oxidase deficiency,Alkaptonuria,NA,AKU,HGD,HGD,"homogentisate 1,2-dioxygenase",3081,203500,Autosomal Recessive,yes,1:250 000-1:1 000 000
24,MAT1A-related Methionine adenosyltransferase I-III deficiency,Mudd’s disease,NA,MAT I/III,MAT1A,MAT1A,methionine adenosyltransferase 1A,4143,250850,Autosomal Recessive,yes,NA
